课程号,课程名,课序号,学时,学分,老师
PSYL300144,医学心理学,08,32,2,"钱玉燕,王瑜萍"
PSYL300144,医学心理学,09,32,2,"钱玉燕,王瑜萍"
SOCL301310,社会研究方法,03,32,2,"郭小弦,李晓光,缪晓雷,帅满,陈滔"
SOCL301310,社会研究方法,04,32,2,"郭小弦,李晓光,帅满,缪晓雷,陈滔"
SOCL402110,中国社会学史,01,32,2,姜利标
SOCL402310,社会分层与流动,01,48,3,张顺
SOCL402510,组织社会学,01,48,3,李晓光
SOCL402910,社会统计学,01,48,3,朱晓文
SOCL404110,社会组织管理,02,48,3,吴苏
SOCL404210,社会服务项目开发与评估,01,48,3,彭瑾
SOCL502310,老年社会学,01,32,2,陈滔
SOCL502410,科学社会学,02,32,2,"杨张博,罗阳"
SOCL503010,人类学,01,32,2,缪晓雷
SOCL503610,社会网络分析,01,48,3,"悦中山,杨张博"
SOCL503710,家庭与性别社会学 Sociology of Family and Gender,01,48,3,王奕轩
SOCL504210,社会政策学,01,32,2,郭小弦
SOCL504810,西方社会学理论前沿,01,32,2,"姜利标,吴苏"
CORE100600,新媒体与社会治理,02,32,2,"沈霄,张立,蒙胜军"
CUIC400120,媒介伦理与法治,01,48,3,申楠
CUIC400320,网络舆情监测与研判,01,48,3,陈强
CUIC400320,网络舆情监测与研判,02,48,3,张立
CUIC400620,马克思主义新闻观,01,48,3,叶妮
CUIC401120,新媒体广告设计,04,48,3,刘婵君
CUIC401220,媒介运营与管理,02,48,3,张宏邦
CUIC401610,传播学研究方法,01,48,3,张立
CUIC500620,数字媒介概论,01,32,2,牛耀红
CUIC500920,国际传播,01,48,3,申楠
CUIC501420,批判传播学,01,32,2,赵一菲
CUIC503410,网页设计与制作,01,32,2,杨帆
GNED100120,理解我们生活的世界：批判视野下的媒介与社会,02,16,1,"张窈,赵一菲,徐婧"
GNED100220,网络媒介素养,02,32,2,"王威力,廖政贸,刘婵君"
GNED100420,危机传播学：从理论到实战,02,32,2,"李巨星,张窈,王威力,廖政贸,李明德"
LITE400120,外国新闻史,01,32,2,张窈
LITE500320,媒介理论研究与前沿,01,32,2,赵一菲
LITE500720,传播思想史,01,32,2,"张铁云,达雅楠"
GNED102950,健康管理与健身方法,01,32,2,裴永杰
GNED102950,健康管理与健身方法,02,32,2,裴永杰
GNED102950,健康管理与健身方法,04,32,2,石磊
GNED103150,中华武术文化传承与实践,02,32,2,潘秀刚
PHED102650,体育２（民族预科）,01,32,0.5,高丹娜
PHED102650,体育２（民族预科）,02,32,0.5,陈龙伟
PHED102650,体育２（民族预科）,03,32,0.5,贺智裕
PHED102650,体育２（民族预科）,04,32,0.5,宋绍鹏
PHED102650,体育２（民族预科）,05,32,0.5,刘超洋
PHED109150,体育-2,01,32,0.5,任文君
PHED109150,体育-2,02,32,0.5,任文君
PHED109150,体育-2,03,32,0.5,任文君
PHED109150,体育-2,04,32,0.5,"任文君,万菲"
PHED109150,体育-2,06,32,0.5,张中江
PHED109150,体育-2,07,32,0.5,张中江
PHED109150,体育-2,08,32,0.5,张军
PHED109150,体育-2,09,32,0.5,严春辉
PHED109150,体育-2,10,32,0.5,彭习涛
PHED109150,体育-2,100,32,0.5,张蕾
PHED109150,体育-2,101,32,0.5,张蕾
PHED109150,体育-2,102,32,0.5,何昌珂
PHED109150,体育-2,103,32,0.5,何昌珂
PHED109150,体育-2,104,32,0.5,何昌珂
PHED109150,体育-2,105,32,0.5,何昌珂
PHED109150,体育-2,106,32,0.5,何昌珂
PHED109150,体育-2,107,32,0.5,何昌珂
PHED109150,体育-2,108,32,0.5,何昌珂
PHED109150,体育-2,109,32,0.5,高丹娜
PHED109150,体育-2,11,32,0.5,彭习涛
PHED109150,体育-2,110,32,0.5,高丹娜
PHED109150,体育-2,111,32,0.5,高丹娜
PHED109150,体育-2,112,32,0.5,高丹娜
PHED109150,体育-2,113,32,0.5,鲁婷婷
PHED109150,体育-2,115,32,0.5,鲁婷婷
PHED109150,体育-2,116,32,0.5,鲁婷婷
PHED109150,体育-2,117,32,0.5,姜伟
PHED109150,体育-2,118,32,0.5,姜伟
PHED109150,体育-2,119,32,0.5,姜伟
PHED109150,体育-2,12,32,0.5,彭习涛
PHED109150,体育-2,120,32,0.5,赵江鸿
PHED109150,体育-2,121,32,0.5,赵江鸿
PHED109150,体育-2,122,32,0.5,赵江鸿
PHED109150,体育-2,123,32,0.5,赵江鸿
PHED109150,体育-2,124,32,0.5,赵江鸿
PHED109150,体育-2,125,32,0.5,尚广杰
PHED109150,体育-2,126,32,0.5,尚广杰
PHED109150,体育-2,127,32,0.5,尚广杰
PHED109150,体育-2,128,32,0.5,尚广杰
PHED109150,体育-2,129,32,0.5,尚广杰
PHED109150,体育-2,13,32,0.5,彭习涛
PHED109150,体育-2,130,32,0.5,闫宽
PHED109150,体育-2,131,32,0.5,闫宽
PHED109150,体育-2,132,32,0.5,汪一鸣
PHED109150,体育-2,133,32,0.5,汪一鸣
PHED109150,体育-2,134,32,0.5,汪一鸣
PHED109150,体育-2,135,32,0.5,汪一鸣
PHED109150,体育-2,136,32,0.5,汪一鸣
PHED109150,体育-2,137,32,0.5,胡浩
PHED109150,体育-2,138,32,0.5,胡浩
PHED109150,体育-2,139,32,0.5,胡浩
PHED109150,体育-2,14,32,0.5,彭习涛
PHED109150,体育-2,140,32,0.5,胡浩
PHED109150,体育-2,141,32,0.5,王保金
PHED109150,体育-2,142,32,0.5,王保金
PHED109150,体育-2,143,32,0.5,王保金
PHED109150,体育-2,144,32,0.5,闫宽
PHED109150,体育-2,145,32,0.5,李军
PHED109150,体育-2,146,32,0.5,闫宽
PHED109150,体育-2,147,32,0.5,李军
PHED109150,体育-2,148,32,0.5,李军
PHED109150,体育-2,149,32,0.5,张晟
PHED109150,体育-2,15,32,0.5,彭习涛
PHED109150,体育-2,150,32,0.5,张晟
PHED109150,体育-2,151,32,0.5,张晟
PHED109150,体育-2,152,32,0.5,曲强
PHED109150,体育-2,153,32,0.5,曲强
PHED109150,体育-2,156,32,0.5,邱宏军
PHED109150,体育-2,157,32,0.5,邱宏军
PHED109150,体育-2,158,32,0.5,邱宏军
PHED109150,体育-2,159,32,0.5,邱宏军
PHED109150,体育-2,16,32,0.5,彭习涛
PHED109150,体育-2,161,32,0.5,张博昆
PHED109150,体育-2,162,32,0.5,张博昆
PHED109150,体育-2,163,32,0.5,刘乘翔
PHED109150,体育-2,164,32,0.5,刘乘翔
PHED109150,体育-2,165,32,0.5,王泰朗
PHED109150,体育-2,166,32,0.5,王泰朗
PHED109150,体育-2,167,32,0.5,王泰朗
PHED109150,体育-2,168,32,0.5,王泰朗
PHED109150,体育-2,169,32,0.5,彭麟凯
PHED109150,体育-2,17,32,0.5,彭习涛
PHED109150,体育-2,172,32,0.5,"王云冰,赵家庆"
PHED109150,体育-2,173,32,0.5,"刘志强,贺博洋"
PHED109150,体育-2,174,32,0.5,"刘志强,贺博洋"
PHED109150,体育-2,175,32,0.5,王小春
PHED109150,体育-2,176,32,0.5,"裴永杰,魏昊"
PHED109150,体育-2,177,32,0.5,"裴永杰,魏昊"
PHED109150,体育-2,178,32,0.5,裴永杰
PHED109150,体育-2,179,32,0.5,陈龙伟
PHED109150,体育-2,18,32,0.5,石磊
PHED109150,体育-2,180,32,0.5,陈龙伟
PHED109150,体育-2,181,32,0.5,陈龙伟
PHED109150,体育-2,182,32,0.5,陈龙伟
PHED109150,体育-2,183,32,0.5,王真
PHED109150,体育-2,184,32,0.5,王真
PHED109150,体育-2,187,32,0.5,王真
PHED109150,体育-2,188,32,0.5,贺智裕
PHED109150,体育-2,189,32,0.5,张秋君
PHED109150,体育-2,19,32,0.5,石磊
PHED109150,体育-2,190,32,0.5,张秋君
PHED109150,体育-2,191,32,0.5,张秋君
PHED109150,体育-2,192,32,0.5,张秋君
PHED109150,体育-2,193,32,0.5,李飞
PHED109150,体育-2,194,32,0.5,李飞
PHED109150,体育-2,195,32,0.5,李飞
PHED109150,体育-2,196,32,0.5,李飞
PHED109150,体育-2,197,32,0.5,陈善平
PHED109150,体育-2,199,32,0.5,洪流
PHED109150,体育-2,20,32,0.5,石磊
PHED109150,体育-2,200,32,0.5,洪流
PHED109150,体育-2,201,32,0.5,宋绍鹏
PHED109150,体育-2,202,32,0.5,宋绍鹏
PHED109150,体育-2,203,32,0.5,宋绍鹏
PHED109150,体育-2,204,32,0.5,宋绍鹏
PHED109150,体育-2,205,32,0.5,宋绍鹏
PHED109150,体育-2,206,32,0.5,宋绍鹏
PHED109150,体育-2,207,32,0.5,张斌南
PHED109150,体育-2,208,32,0.5,张斌南
PHED109150,体育-2,209,32,0.5,张斌南
PHED109150,体育-2,21,32,0.5,石磊
PHED109150,体育-2,210,32,0.5,"刘长江,牛龙"
PHED109150,体育-2,211,32,0.5,"陈龙伟,牛龙"
PHED109150,体育-2,213,32,0.5,姚明霞
PHED109150,体育-2,214,32,0.5,姚明霞
PHED109150,体育-2,216,32,0.5,刘丽萍
PHED109150,体育-2,217,32,0.5,刘丽萍
PHED109150,体育-2,218,32,0.5,刘丽萍
PHED109150,体育-2,219,32,0.5,党笛洋
PHED109150,体育-2,22,32,0.5,董亚光
PHED109150,体育-2,220,32,0.5,党笛洋
PHED109150,体育-2,221,32,0.5,穆若颖
PHED109150,体育-2,222,32,0.5,穆若颖
PHED109150,体育-2,223,32,0.5,党笛洋
PHED109150,体育-2,224,32,0.5,党笛洋
PHED109150,体育-2,225,32,0.5,刘超洋
PHED109150,体育-2,226,32,0.5,刘超洋
PHED109150,体育-2,227,32,0.5,刘超洋
PHED109150,体育-2,228,32,0.5,张慧雯
PHED109150,体育-2,229,32,0.5,张慧雯
PHED109150,体育-2,23,32,0.5,李云镔
PHED109150,体育-2,230,32,0.5,张慧雯
PHED109150,体育-2,231,32,0.5,杨光
PHED109150,体育-2,232,32,0.5,杨光
PHED109150,体育-2,233,32,0.5,杨光
PHED109150,体育-2,234,32,0.5,杨光
PHED109150,体育-2,235,32,0.5,杨光
PHED109150,体育-2,236,32,0.5,杨光
PHED109150,体育-2,237,32,0.5,杨光
PHED109150,体育-2,238,32,0.5,张丽萍
PHED109150,体育-2,24,32,0.5,李云镔
PHED109150,体育-2,240,32,0.5,张丽萍
PHED109150,体育-2,241,32,0.5,弥军民
PHED109150,体育-2,242,32,0.5,弥军民
PHED109150,体育-2,243,32,0.5,弥军民
PHED109150,体育-2,244,32,0.5,弥军民
PHED109150,体育-2,245,32,0.5,弥军民
PHED109150,体育-2,246,32,0.5,李宝成
PHED109150,体育-2,247,32,0.5,李宝成
PHED109150,体育-2,248,32,0.5,李宝成
PHED109150,体育-2,249,32,0.5,李宝成
PHED109150,体育-2,25,32,0.5,李云镔
PHED109150,体育-2,250,32,0.5,"弥军民,李楠"
PHED109150,体育-2,251,32,0.5,刘迅雷
PHED109150,体育-2,252,32,0.5,刘迅雷
PHED109150,体育-2,253,32,0.5,潘秀刚
PHED109150,体育-2,254,32,0.5,潘秀刚
PHED109150,体育-2,255,32,0.5,潘秀刚
PHED109150,体育-2,256,32,0.5,潘秀刚
PHED109150,体育-2,257,32,0.5,程立雪
PHED109150,体育-2,258,32,0.5,程立雪
PHED109150,体育-2,259,32,0.5,葛金琰
PHED109150,体育-2,26,32,0.5,李云镔
PHED109150,体育-2,260,32,0.5,葛金琰
PHED109150,体育-2,261,32,0.5,葛金琰
PHED109150,体育-2,263,32,0.5,李志清
PHED109150,体育-2,264,32,0.5,胡良楠
PHED109150,体育-2,265,32,0.5,胡良楠
PHED109150,体育-2,266,32,0.5,王云冰
PHED109150,体育-2,267,32,0.5,王云冰
PHED109150,体育-2,268,32,0.5,鲁婷婷
PHED109150,体育-2,269,32,0.5,邱宏军
PHED109150,体育-2,27,32,0.5,李云镔
PHED109150,体育-2,270,32,0.5,党笛洋
PHED109150,体育-2,271,32,0.5,弥军民
PHED109150,体育-2,272,32,0.5,程立雪
PHED109150,体育-2,273,32,0.5,王保金
PHED109150,体育-2,274,32,0.5,位桂香
PHED109150,体育-2,275,32,0.5,位桂香
PHED109150,体育-2,276,32,0.5,姚明霞
PHED109150,体育-2,277,32,0.5,"肖坤鹏,万菲"
PHED109150,体育-2,278,32,0.5,闫宽
PHED109150,体育-2,279,32,0.5,王泰朗
PHED109150,体育-2,28,32,0.5,李云镔
PHED109150,体育-2,280,32,0.5,洪流
PHED109150,体育-2,281,32,0.5,"肖坤鹏,万菲"
PHED109150,体育-2,282,32,0.5,"李楠,刘迅雷"
PHED109150,体育-2,283,32,0.5,"冯申阳,贺京周"
PHED109150,体育-2,284,32,0.5,盖文亮
PHED109150,体育-2,285,32,0.5,徐川傲
PHED109150,体育-2,286,32,0.5,牛潇锋
PHED109150,体育-2,287,32,0.5,"徐川傲,张宇琨"
PHED109150,体育-2,288,32,0.5,徐川傲
PHED109150,体育-2,29,32,0.5,"肖坤鹏,万菲"
PHED109150,体育-2,30,32,0.5,"万菲,严春辉"
PHED109150,体育-2,31,32,0.5,徐川傲
PHED109150,体育-2,32,32,0.5,徐川傲
PHED109150,体育-2,33,32,0.5,"徐川傲,张宇琨"
PHED109150,体育-2,34,32,0.5,龚建亭
PHED109150,体育-2,35,32,0.5,龚建亭
PHED109150,体育-2,36,32,0.5,龚建亭
PHED109150,体育-2,37,32,0.5,龚建亭
PHED109150,体育-2,38,32,0.5,龚建亭
PHED109150,体育-2,39,32,0.5,"龚建亭,黄诗贻"
PHED109150,体育-2,40,32,0.5,"龚建亭,黄诗贻"
PHED109150,体育-2,41,32,0.5,"龚建亭,黄诗贻"
PHED109150,体育-2,42,32,0.5,李志清
PHED109150,体育-2,43,32,0.5,"李志清,杨彦博"
PHED109150,体育-2,44,32,0.5,宇文展
PHED109150,体育-2,45,32,0.5,宇文展
PHED109150,体育-2,46,32,0.5,宇文展
PHED109150,体育-2,47,32,0.5,宇文展
PHED109150,体育-2,48,32,0.5,李靖
PHED109150,体育-2,49,32,0.5,李靖
PHED109150,体育-2,50,32,0.5,李靖
PHED109150,体育-2,51,32,0.5,"李靖,黄诗贻"
PHED109150,体育-2,53,32,0.5,韩骥磊
PHED109150,体育-2,54,32,0.5,韩骥磊
PHED109150,体育-2,55,32,0.5,韩骥磊
PHED109150,体育-2,56,32,0.5,韩骥磊
PHED109150,体育-2,58,32,0.5,东岳
PHED109150,体育-2,59,32,0.5,东岳
PHED109150,体育-2,60,32,0.5,东岳
PHED109150,体育-2,61,32,0.5,东岳
PHED109150,体育-2,62,32,0.5,胡良楠
PHED109150,体育-2,63,32,0.5,肖坤鹏
PHED109150,体育-2,64,32,0.5,肖坤鹏
PHED109150,体育-2,65,32,0.5,肖坤鹏
PHED109150,体育-2,66,32,0.5,何黛
PHED109150,体育-2,67,32,0.5,何黛
PHED109150,体育-2,68,32,0.5,"何黛,万菲"
PHED109150,体育-2,70,32,0.5,"何黛,万菲"
PHED109150,体育-2,71,32,0.5,黄霞
PHED109150,体育-2,72,32,0.5,黄霞
PHED109150,体育-2,73,32,0.5,黄霞
PHED109150,体育-2,74,32,0.5,胡良楠
PHED109150,体育-2,75,32,0.5,胡良楠
PHED109150,体育-2,76,32,0.5,胡良楠
PHED109150,体育-2,77,32,0.5,彭麟凯
PHED109150,体育-2,78,32,0.5,彭麟凯
PHED109150,体育-2,79,32,0.5,彭麟凯
PHED109150,体育-2,80,32,0.5,彭麟凯
PHED109150,体育-2,81,32,0.5,"程立雪,杨彦博"
PHED109150,体育-2,82,32,0.5,谢招福
PHED109150,体育-2,83,32,0.5,谢招福
PHED109150,体育-2,84,32,0.5,谢招福
PHED109150,体育-2,85,32,0.5,谢招福
PHED109150,体育-2,86,32,0.5,宋雷
PHED109150,体育-2,87,32,0.5,宋雷
PHED109150,体育-2,88,32,0.5,宋雷
PHED109150,体育-2,89,32,0.5,冯申阳
PHED109150,体育-2,90,32,0.5,冯申阳
PHED109150,体育-2,91,32,0.5,刘志强
PHED109150,体育-2,92,32,0.5,刘志强
PHED109150,体育-2,93,32,0.5,刘志强
PHED109150,体育-2,94,32,0.5,郭义军
PHED109150,体育-2,95,32,0.5,郭义军
PHED109150,体育-2,96,32,0.5,郭义军
PHED109150,体育-2,97,32,0.5,郭义军
PHED109150,体育-2,98,32,0.5,郭义军
PHED109150,体育-2,99,32,0.5,刘长江
PHED109350,体育-4,01,32,0.5,任文君
PHED109350,体育-4,02,32,0.5,"任文君,张宇琨"
PHED109350,体育-4,03,32,0.5,张中江
PHED109350,体育-4,04,32,0.5,张中江
PHED109350,体育-4,05,32,0.5,张中江
PHED109350,体育-4,06,32,0.5,张中江
PHED109350,体育-4,07,32,0.5,张中江
PHED109350,体育-4,08,32,0.5,张中江
PHED109350,体育-4,10,32,0.5,张军
PHED109350,体育-4,100,32,0.5,郭义军
PHED109350,体育-4,101,32,0.5,郭义军
PHED109350,体育-4,102,32,0.5,郭义军
PHED109350,体育-4,103,32,0.5,郭义军
PHED109350,体育-4,104,32,0.5,刘长江
PHED109350,体育-4,105,32,0.5,何昌珂
PHED109350,体育-4,106,32,0.5,何昌珂
PHED109350,体育-4,107,32,0.5,何昌珂
PHED109350,体育-4,108,32,0.5,高丹娜
PHED109350,体育-4,109,32,0.5,高丹娜
PHED109350,体育-4,11,32,0.5,张军
PHED109350,体育-4,110,32,0.5,高丹娜
PHED109350,体育-4,111,32,0.5,高丹娜
PHED109350,体育-4,112,32,0.5,高丹娜
PHED109350,体育-4,113,32,0.5,程立雪
PHED109350,体育-4,114,32,0.5,鲁婷婷
PHED109350,体育-4,115,32,0.5,鲁婷婷
PHED109350,体育-4,116,32,0.5,鲁婷婷
PHED109350,体育-4,117,32,0.5,鲁婷婷
PHED109350,体育-4,118,32,0.5,鲁婷婷
PHED109350,体育-4,119,32,0.5,张蕾
PHED109350,体育-4,12,32,0.5,张军
PHED109350,体育-4,120,32,0.5,张蕾
PHED109350,体育-4,121,32,0.5,张蕾
PHED109350,体育-4,122,32,0.5,张蕾
PHED109350,体育-4,123,32,0.5,姜伟
PHED109350,体育-4,124,32,0.5,姜伟
PHED109350,体育-4,125,32,0.5,姜伟
PHED109350,体育-4,126,32,0.5,姜伟
PHED109350,体育-4,127,32,0.5,赵江鸿
PHED109350,体育-4,128,32,0.5,赵江鸿
PHED109350,体育-4,129,32,0.5,赵江鸿
PHED109350,体育-4,13,32,0.5,严春辉
PHED109350,体育-4,130,32,0.5,赵江鸿
PHED109350,体育-4,131,32,0.5,赵江鸿
PHED109350,体育-4,132,32,0.5,尚广杰
PHED109350,体育-4,133,32,0.5,尚广杰
PHED109350,体育-4,134,32,0.5,尚广杰
PHED109350,体育-4,135,32,0.5,尚广杰
PHED109350,体育-4,136,32,0.5,尚广杰
PHED109350,体育-4,137,32,0.5,尚广杰
PHED109350,体育-4,138,32,0.5,汪一鸣
PHED109350,体育-4,139,32,0.5,汪一鸣
PHED109350,体育-4,14,32,0.5,严春辉
PHED109350,体育-4,140,32,0.5,汪一鸣
PHED109350,体育-4,141,32,0.5,胡浩
PHED109350,体育-4,142,32,0.5,胡浩
PHED109350,体育-4,143,32,0.5,胡浩
PHED109350,体育-4,144,32,0.5,胡浩
PHED109350,体育-4,145,32,0.5,胡浩
PHED109350,体育-4,146,32,0.5,胡浩
PHED109350,体育-4,147,32,0.5,闫宽
PHED109350,体育-4,148,32,0.5,闫宽
PHED109350,体育-4,149,32,0.5,闫宽
PHED109350,体育-4,15,32,0.5,彭习涛
PHED109350,体育-4,150,32,0.5,闫宽
PHED109350,体育-4,151,32,0.5,王保金
PHED109350,体育-4,152,32,0.5,王保金
PHED109350,体育-4,153,32,0.5,李军
PHED109350,体育-4,154,32,0.5,李军
PHED109350,体育-4,155,32,0.5,李军
PHED109350,体育-4,156,32,0.5,李军
PHED109350,体育-4,157,32,0.5,李军
PHED109350,体育-4,158,32,0.5,张晟
PHED109350,体育-4,159,32,0.5,张晟
PHED109350,体育-4,16,32,0.5,石磊
PHED109350,体育-4,160,32,0.5,张晟
PHED109350,体育-4,161,32,0.5,曲强
PHED109350,体育-4,162,32,0.5,曲强
PHED109350,体育-4,163,32,0.5,曲强
PHED109350,体育-4,164,32,0.5,曲强
PHED109350,体育-4,165,32,0.5,曲强
PHED109350,体育-4,166,32,0.5,张蕾
PHED109350,体育-4,167,32,0.5,邱宏军
PHED109350,体育-4,168,32,0.5,邱宏军
PHED109350,体育-4,169,32,0.5,邱宏军
PHED109350,体育-4,17,32,0.5,董亚光
PHED109350,体育-4,170,32,0.5,张博昆
PHED109350,体育-4,171,32,0.5,"贺京周,位桂香"
PHED109350,体育-4,172,32,0.5,张博昆
PHED109350,体育-4,173,32,0.5,张博昆
PHED109350,体育-4,174,32,0.5,张博昆
PHED109350,体育-4,175,32,0.5,刘乘翔
PHED109350,体育-4,176,32,0.5,刘乘翔
PHED109350,体育-4,177,32,0.5,刘乘翔
PHED109350,体育-4,178,32,0.5,王泰朗
PHED109350,体育-4,179,32,0.5,王泰朗
PHED109350,体育-4,18,32,0.5,董亚光
PHED109350,体育-4,180,32,0.5,王泰朗
PHED109350,体育-4,181,32,0.5,王泰朗
PHED109350,体育-4,182,32,0.5,"王云冰,赵家庆"
PHED109350,体育-4,183,32,0.5,"王云冰,赵家庆"
PHED109350,体育-4,184,32,0.5,"王云冰,赵家庆"
PHED109350,体育-4,185,32,0.5,"刘志强,贺博洋"
PHED109350,体育-4,186,32,0.5,"刘志强,贺博洋"
PHED109350,体育-4,187,32,0.5,王小春
PHED109350,体育-4,188,32,0.5,王小春
PHED109350,体育-4,189,32,0.5,裴永杰
PHED109350,体育-4,19,32,0.5,董亚光
PHED109350,体育-4,190,32,0.5,"裴永杰,魏昊"
PHED109350,体育-4,191,32,0.5,裴永杰
PHED109350,体育-4,192,32,0.5,裴永杰
PHED109350,体育-4,193,32,0.5,裴永杰
PHED109350,体育-4,194,32,0.5,陈龙伟
PHED109350,体育-4,195,32,0.5,陈龙伟
PHED109350,体育-4,196,32,0.5,陈龙伟
PHED109350,体育-4,197,32,0.5,王真
PHED109350,体育-4,198,32,0.5,贺智裕
PHED109350,体育-4,20,32,0.5,董亚光
PHED109350,体育-4,200,32,0.5,张秋君
PHED109350,体育-4,201,32,0.5,张秋君
PHED109350,体育-4,202,32,0.5,张秋君
PHED109350,体育-4,203,32,0.5,张秋君
PHED109350,体育-4,204,32,0.5,李飞
PHED109350,体育-4,205,32,0.5,李飞
PHED109350,体育-4,206,32,0.5,李飞
PHED109350,体育-4,207,32,0.5,陈善平
PHED109350,体育-4,208,32,0.5,陈善平
PHED109350,体育-4,209,32,0.5,洪流
PHED109350,体育-4,21,32,0.5,董亚光
PHED109350,体育-4,210,32,0.5,洪流
PHED109350,体育-4,211,32,0.5,洪流
PHED109350,体育-4,212,32,0.5,宋绍鹏
PHED109350,体育-4,213,32,0.5,宋绍鹏
PHED109350,体育-4,214,32,0.5,张斌南
PHED109350,体育-4,215,32,0.5,张斌南
PHED109350,体育-4,216,32,0.5,张斌南
PHED109350,体育-4,217,32,0.5,张斌南
PHED109350,体育-4,218,32,0.5,张斌南
PHED109350,体育-4,219,32,0.5,张斌南
PHED109350,体育-4,22,32,0.5,董亚光
PHED109350,体育-4,220,32,0.5,张斌南
PHED109350,体育-4,221,32,0.5,"刘长江,牛龙"
PHED109350,体育-4,222,32,0.5,"牛龙,陈龙伟"
PHED109350,体育-4,223,32,0.5,姚明霞
PHED109350,体育-4,224,32,0.5,姚明霞
PHED109350,体育-4,225,32,0.5,姚明霞
PHED109350,体育-4,226,32,0.5,姚明霞
PHED109350,体育-4,227,32,0.5,盖文亮
PHED109350,体育-4,228,32,0.5,姚明霞
PHED109350,体育-4,229,32,0.5,刘丽萍
PHED109350,体育-4,23,32,0.5,董亚光
PHED109350,体育-4,230,32,0.5,刘丽萍
PHED109350,体育-4,231,32,0.5,刘丽萍
PHED109350,体育-4,232,32,0.5,刘丽萍
PHED109350,体育-4,233,32,0.5,刘丽萍
PHED109350,体育-4,234,32,0.5,刘丽萍
PHED109350,体育-4,235,32,0.5,盖文亮
PHED109350,体育-4,236,32,0.5,党笛洋
PHED109350,体育-4,237,32,0.5,党笛洋
PHED109350,体育-4,238,32,0.5,穆若颖
PHED109350,体育-4,239,32,0.5,穆若颖
PHED109350,体育-4,24,32,0.5,李云镔
PHED109350,体育-4,240,32,0.5,刘超洋
PHED109350,体育-4,241,32,0.5,刘超洋
PHED109350,体育-4,242,32,0.5,刘超洋
PHED109350,体育-4,243,32,0.5,刘超洋
PHED109350,体育-4,244,32,0.5,杨光
PHED109350,体育-4,245,32,0.5,杨光
PHED109350,体育-4,246,32,0.5,杨光
PHED109350,体育-4,247,32,0.5,杨光
PHED109350,体育-4,248,32,0.5,张慧雯
PHED109350,体育-4,249,32,0.5,张慧雯
PHED109350,体育-4,250,32,0.5,张慧雯
PHED109350,体育-4,251,32,0.5,张慧雯
PHED109350,体育-4,252,32,0.5,张慧雯
PHED109350,体育-4,253,32,0.5,张慧雯
PHED109350,体育-4,254,32,0.5,张丽萍
PHED109350,体育-4,255,32,0.5,张丽萍
PHED109350,体育-4,256,32,0.5,张丽萍
PHED109350,体育-4,257,32,0.5,张丽萍
PHED109350,体育-4,258,32,0.5,张丽萍
PHED109350,体育-4,259,32,0.5,张丽萍
PHED109350,体育-4,26,32,0.5,李云镔
PHED109350,体育-4,260,32,0.5,弥军民
PHED109350,体育-4,261,32,0.5,"李楠,弥军民"
PHED109350,体育-4,262,32,0.5,弥军民
PHED109350,体育-4,263,32,0.5,徐川傲
PHED109350,体育-4,264,32,0.5,弥军民
PHED109350,体育-4,265,32,0.5,弥军民
PHED109350,体育-4,266,32,0.5,李宝成
PHED109350,体育-4,267,32,0.5,李宝成
PHED109350,体育-4,268,32,0.5,李宝成
PHED109350,体育-4,269,32,0.5,"刘迅雷,李楠"
PHED109350,体育-4,27,32,0.5,牛潇锋
PHED109350,体育-4,270,32,0.5,"李楠,弥军民"
PHED109350,体育-4,271,32,0.5,刘迅雷
PHED109350,体育-4,272,32,0.5,刘迅雷
PHED109350,体育-4,273,32,0.5,潘秀刚
PHED109350,体育-4,274,32,0.5,潘秀刚
PHED109350,体育-4,275,32,0.5,潘秀刚
PHED109350,体育-4,276,32,0.5,徐川傲
PHED109350,体育-4,279,32,0.5,葛金琰
PHED109350,体育-4,28,32,0.5,牛潇锋
PHED109350,体育-4,280,32,0.5,葛金琰
PHED109350,体育-4,282,32,0.5,"冯申阳,贺京周"
PHED109350,体育-4,29,32,0.5,牛潇锋
PHED109350,体育-4,30,32,0.5,牛潇锋
PHED109350,体育-4,31,32,0.5,牛潇锋
PHED109350,体育-4,32,32,0.5,"徐川傲,张宇琨"
PHED109350,体育-4,33,32,0.5,"徐川傲,张宇琨"
PHED109350,体育-4,34,32,0.5,"刘长江,郭晨"
PHED109350,体育-4,35,32,0.5,"刘长江,郭晨"
PHED109350,体育-4,36,32,0.5,徐川傲
PHED109350,体育-4,37,32,0.5,徐川傲
PHED109350,体育-4,38,32,0.5,徐川傲
PHED109350,体育-4,39,32,0.5,"徐川傲,张宇琨"
PHED109350,体育-4,40,32,0.5,盖文亮
PHED109350,体育-4,41,32,0.5,"徐川傲,张宇琨"
PHED109350,体育-4,43,32,0.5,位桂香
PHED109350,体育-4,45,32,0.5,龚建亭
PHED109350,体育-4,46,32,0.5,"张宇琨,朱雪宇"
PHED109350,体育-4,47,32,0.5,位桂香
PHED109350,体育-4,48,32,0.5,姚明霞
PHED109350,体育-4,49,32,0.5,李志清
PHED109350,体育-4,50,32,0.5,李志清
PHED109350,体育-4,51,32,0.5,李志清
PHED109350,体育-4,52,32,0.5,李志清
PHED109350,体育-4,53,32,0.5,李志清
PHED109350,体育-4,54,32,0.5,"杨彦博,东岳"
PHED109350,体育-4,55,32,0.5,"李志清,杨彦博"
