S#,C#,GRADE
1033296,GT-22,37.2
1035390,SM-57,91.1
1034154,MP-35,81.7
1033580,DE-95,77.7
1036705,WS-73,93.9
1032581,PO-20,73.4
1035770,TE-89,82.6
1033139,SM-01,51.2
1032742,FT-37,51.3
1032226,IM-93,78.0
1032553,SS-35,63.0
1035047,CL-08,77.0
1035002,SS-26,90.1
1033821,GL-25,38.4
1036039,TE-56,37.0
1036573,CH-54,86.2
1036108,TL-46,82.0
1034802,DE-02,32.8
1032636,ED-82,51.3
1032741,LS-40,85.2
1035150,CL-44,92.6
1032398,WS-81,90.4
1032467,SM-95,50.0
1035399,NA-75,60.2
1033895,VL-84,57.8
1033160,SM-36,80.3
1033562,OL-58,32.3
1036493,TH-89,95.2
1032119,MA-16,39.2
1033726,CH-46,83.0
1034418,ED-34,56.7
1032386,AT-87,79.4
1033790,SJ-51,55.2
1034961,TE-49,75.6
1035994,AN-30,30.6
1035556,ED-23,31.2
1032747,TH-41,32.4
1035563,TE-53,66.0
1035915,GT-13,62.5
1035927,OM-92,60.2
1032600,TE-39,69.3
1035960,OL-40,62.5
1033955,YL-26,58.9
1034109,RE-42,74.6
1033774,EC-47,37.7
1032653,OM-94,79.3
1032547,OL-38,68.8
1036126,WS-80,88.2
1033904,TE-89,63.7
1033129,CH-87,77.7
1032264,TH-12,96.2
1036529,WS-43,58.8
1035150,AT-79,49.1
1034812,TE-79,37.1
1033144,FT-36,97.1
1036748,EM-81,72.2
1036511,NG-09,36.1
1036315,EM-80,75.5
1035374,EC-25,53.0
1036333,MD-21,36.3
1036912,NA-46,64.9
1035228,EM-18,51.8
1036551,MP-59,85.6
1033043,RS-32,98.0
1033467,AU-24,77.2
1036465,AU-04,67.3
1036883,TE-19,63.2
1032776,DE-39,60.8
1033069,LI-82,99.7
1032739,ED-75,80.6
1036228,ED-59,53.5
1034843,MD-76,82.1
1036819,NG-89,42.7
1036453,NG-78,36.2
1034270,LS-46,30.8
1033844,TO-83,47.0
1032684,OM-37,70.5
1033732,TO-96,32.0
1034721,AN-92,36.2
1035814,RS-33,94.6
1035533,RE-36,93.0
1034516,OM-03,37.9
1032975,ED-21,64.6
1035787,ND-95,58.0
1036747,IM-52,54.9
1036713,EC-53,48.3
1036751,OL-37,47.6
1033656,TH-32,58.3
1036146,IM-50,35.3
1033961,LS-28,74.5
1032990,OL-22,74.4
1032913,CH-09,67.4
1036533,EM-64,46.9
1032277,CL-65,97.7
1036106,MT-28,57.6
1036550,YS-52,56.9
1036113,YS-38,50.4
1034287,LC-16,68.2
1034608,EM-83,95.4
1034304,TR-81,33.2
1035258,FT-49,53.3
1036612,TE-06,89.7
1033115,TO-29,57.5
1033393,LC-83,58.2
1032442,NG-93,32.4
1036304,TO-95,95.1
1034174,WS-31,37.4
1033018,RE-82,50.4
1033464,ED-93,61.9
1032982,EM-41,43.0
1036478,LC-61,60.5
1036462,SJ-15,48.0
1032044,GT-45,89.3
1033349,CL-11,70.6
1035558,ED-82,56.8
1032717,SM-19,73.0
1036722,SS-26,90.2
1032133,SJ-36,97.7
1034392,RE-44,40.8
1032946,WS-33,67.2
1035818,CH-04,62.9
1034311,OL-47,47.0
1034426,GL-28,68.0
1033053,IM-50,93.3
1033459,TO-46,50.4
1033091,TH-17,76.0
1033205,OL-22,49.0
1036777,YS-19,85.0
1035976,AC-31,82.8
1035705,DE-95,66.4
1035492,TO-74,38.1
1035173,TO-09,75.4
1033942,SJ-69,35.6
1036483,EC-16,55.1
1033121,SP-13,85.2
1036384,TE-19,83.7
1032921,SM-85,32.9
1033388,GT-29,71.6
1036661,ED-82,44.5
1032362,NG-03,42.8
1036490,VL-58,65.3
1034877,LI-00,74.7
1034258,TH-96,69.0
1035658,YS-17,63.7
1034629,CH-82,60.7
1036990,IC-01,83.3
1033143,RE-20,55.6
1036170,CL-20,48.2
1035760,RM-16,46.4
1032826,CL-57,46.9
1036519,IM-15,51.3
1036208,ED-16,35.3
1033067,ED-77,58.4
1035736,TH-42,55.2
1033184,ME-07,36.1
1036246,SJ-10,43.3
1035922,ND-39,46.5
1033527,YS-69,33.1
1033534,TE-13,57.6
1035552,RM-77,81.3
1035867,DE-93,62.8
1035552,NA-35,63.4
1032674,SJ-13,98.9
1034807,EM-56,59.1
1032112,OL-71,56.8
1033137,ED-37,88.8
1035613,NA-19,91.6
1033991,TE-19,69.0
1032724,TE-93,70.6
1032151,BH-36,32.7
1034497,YS-38,86.6
1034381,TH-55,32.9
1035821,IM-66,34.6
1032079,CH-17,47.9
1035383,AT-96,43.3
1036860,GL-16,54.3
1035340,TE-50,75.4
1035036,EM-62,43.8
1033274,RS-50,97.0
1035151,EN-76,89.3
1033748,RE-05,43.0
1035876,EC-09,45.7
1036452,TO-37,87.4
1033154,MA-31,43.7
1036598,MP-67,74.6
1032692,FT-20,92.7
1036496,CH-32,59.7
1035638,EC-53,55.6
1033264,MA-37,59.3
1033126,IM-68,65.6
1035305,EM-90,42.9
1034291,RE-54,88.0
1036230,CH-06,59.0
1036312,SM-23,82.1
1036109,OL-42,44.1
1032366,MP-08,79.6
1032248,GT-91,40.2
1033538,FT-86,69.4
1032428,TH-42,84.5
1032456,CH-17,57.3
1036422,GT-47,45.9
1035103,RE-94,35.8
1034046,RE-27,65.0
1033951,MD-13,85.3
1036992,ED-91,39.1
1035627,MA-38,94.4
1032205,TE-96,50.6
1034550,SM-35,91.1
1033339,EC-01,62.1
1035347,OM-88,48.1
1034010,SJ-09,45.5
1033500,EM-41,92.7
1034569,SM-14,44.7
1033637,TO-12,97.9
1035427,MA-45,81.5
1036086,WS-34,96.8
1034955,SJ-03,60.5
1035778,CH-20,52.8
1033345,SM-86,93.3
1036833,ST-22,69.9
1032729,EC-15,31.3
1034892,MT-52,61.1
1033775,YS-55,77.2
1036379,SJ-43,59.2
1034761,VL-61,60.3
1035881,GT-30,91.8
1035944,GT-56,37.2
1036669,YS-42,61.1
1033913,IC-92,60.3
1033329,CH-64,66.0
1032286,ED-14,78.2
1032157,CH-68,60.7
1035135,GT-76,77.7
1035126,BH-22,81.4
1034377,EM-79,47.8
1033968,NA-01,64.4
1035054,TE-92,37.4
1032313,TS-44,99.2
1034546,WS-28,45.4
1032091,TS-70,38.7
1033342,ED-16,70.3
1035011,DE-87,52.5
1035172,GL-60,98.8
1036862,CH-65,35.5
1035453,EC-18,33.7
1032118,IM-42,74.5
1036184,SM-26,56.8
1036032,RE-41,66.2
1035062,LS-84,63.9
1036113,PN-22,69.5
1034311,LC-55,46.5
1034104,SM-59,95.2
1032663,GL-96,92.4
1036860,PO-71,59.3
1036164,TO-25,89.3
1035719,LC-08,52.6
1034983,LS-05,74.5
1035862,MA-77,83.9
1035542,TE-07,58.6
1032749,AU-21,37.9
1032295,TO-05,47.9
1032197,LU-80,33.5
1033661,MP-55,54.6
1034460,SJ-60,54.5
1033382,ED-96,62.7
1034020,SM-88,65.2
1033054,MA-83,30.7
1033838,RE-35,79.0
1032875,SM-25,77.0
1033663,IC-28,32.4
1035897,RA-44,40.4
1036515,DE-84,54.1
1034449,CH-06,50.8
1033425,ND-95,38.9
1033939,DE-51,67.2
1034859,DE-15,56.6
1035848,SM-23,70.6
1036768,EC-76,49.6
1036634,FT-36,53.1
1033308,SM-27,47.6
1032415,TE-60,42.7
1034161,LC-52,78.9
1034447,OM-86,46.0
1034404,NG-81,32.4
1032422,LC-67,33.7
1034869,EC-63,60.2
1034506,CH-47,54.6
1032486,MA-40,78.0
1035053,ME-56,99.3
1034942,RA-44,47.1
1033434,EM-83,68.2
1036108,NG-17,66.0
1032401,NG-79,61.4
1036213,CH-75,35.7
1035166,GT-25,72.2
1036359,MP-73,40.2
1036820,CH-42,70.4
1036599,CH-33,51.5
1035227,FT-78,64.3
1032349,EC-54,85.5
1035488,RS-32,58.2
1036066,MD-79,49.8
1034200,RS-51,34.0
1034236,AU-09,45.7
1032854,ED-89,42.9
1032691,RE-00,55.2
1035392,ED-50,68.9
1033482,SM-30,75.0
1032853,RM-47,61.0
1036824,DE-51,34.8
1032717,CL-05,31.1
1034879,AN-36,83.9
1036482,RE-42,94.1
1035648,DE-30,72.4
1035467,ND-50,64.9
1033038,ED-77,98.1
1032840,GT-30,90.9
1034324,SP-65,86.5
1035261,ED-22,83.0
1036469,IM-92,44.5
1035340,GL-07,33.7
1032176,LC-49,51.8
1036212,TO-62,53.0
1035202,NA-19,30.4
1036806,EM-55,50.0
1035242,LS-81,62.2
1034597,ED-93,78.9
1032542,AC-08,94.7
1032908,LS-02,75.5
1035133,RS-92,34.7
1032031,EC-66,39.2
1036633,FT-03,42.9
1035419,PN-01,67.7
1035381,ME-47,58.5
1033397,OL-90,67.5
1035930,RE-82,91.3
1032864,VL-39,54.2
1035829,ME-19,48.6
1033838,GT-95,86.1
1032673,TE-47,75.7
1033171,WS-10,50.4
1036034,LC-04,36.5
1032562,MA-77,98.6
1033121,IC-12,80.6
1035880,AT-79,63.4
1033478,CH-95,67.0
1036778,SM-08,89.2
1032983,TH-36,50.9
1032191,ME-71,89.9
1035559,YL-96,42.3
1033317,SM-33,53.2
1034641,GT-66,68.7
1033678,YS-17,54.6
1035993,EC-42,42.1
1036640,IM-71,84.1
1034570,TE-81,85.3
1034786,LC-33,87.7
1034755,ME-59,52.0
1034290,RA-43,69.5
1035204,WS-44,66.2
1035737,OM-03,47.9
1033633,ED-58,60.2
1032842,SJ-28,77.3
1033094,GL-39,85.1
1032365,SM-38,63.2
1035374,ED-31,65.2
1033153,EC-25,86.4
1036851,CH-65,93.5
1036826,GL-88,64.0
1033131,EC-35,32.1
1035970,TL-13,40.8
1036795,DE-71,42.8
1035942,LS-05,70.5
1032823,TE-34,83.9
1035855,SP-22,41.5
1035377,SJ-65,97.3
1034534,SS-28,56.7
1032016,GL-43,76.9
1036507,CL-47,36.3
1034758,LC-01,80.7
1032143,AN-94,94.7
1034862,ED-34,37.6
1035706,CH-02,65.6
1034240,ND-72,42.0
1033167,LU-32,78.4
1036129,TE-57,95.2
1032429,NG-87,95.6
1034074,OL-42,57.4
1033266,TS-27,52.6
1034015,MP-02,82.4
1032449,CH-08,68.6
1033022,EC-09,80.2
1036778,MP-08,80.4
1032047,WS-04,30.3
1036261,AN-36,73.8
1033878,ED-61,55.2
1036276,TE-57,49.1
1035849,EM-09,83.7
1032412,SJ-02,50.0
1034043,SJ-08,47.2
1034358,SM-80,38.6
1036332,IM-24,61.9
1033245,CH-12,50.4
1032905,CH-02,64.5
1035351,TE-13,58.0
1033579,AU-01,94.6
1034092,RM-38,74.6
1034483,EN-75,50.8
1035308,NA-14,37.9
1034339,LS-87,80.0
1034935,EM-12,86.7
1032010,NA-35,95.6
1033144,TH-22,56.9
1036151,NG-18,39.2
1035481,CL-28,63.0
1033216,EM-04,94.5
1034874,CL-23,75.6
1032822,TH-12,34.0
1035940,TS-06,76.0
1032059,MD-92,47.8
1036842,ND-29,58.8
1033663,TE-23,93.8
1036652,SP-10,58.3
1034997,IC-10,63.3
1035935,TH-66,51.4
1032292,IM-29,42.0
1033449,CH-59,38.5
1036206,PN-25,62.5
1034806,TL-58,53.5
1032301,RE-27,86.6
1035538,IM-90,82.3
1033428,TH-42,44.4
1034272,CH-69,60.0
1033921,CP-86,84.3
1034633,ED-90,30.8
1036230,CL-12,58.8
1035766,TE-79,44.4
1035040,PN-25,49.6
1036534,ED-55,87.8
1032238,AN-26,33.5
1036975,RE-00,71.0
1036221,OM-31,61.7
1035471,SP-10,55.5
1035481,MP-37,82.6
1036248,LI-85,63.4
1033068,IC-30,67.4
1035618,FT-08,72.2
1033431,DE-24,86.2
1033018,NA-74,88.8
1036921,MA-47,45.2
1036362,EM-40,54.7
1032442,FT-12,85.7
1035848,DE-02,88.8
1034193,YS-03,50.0
1034216,ED-50,64.2
1036771,BH-19,79.7
1032399,ED-53,63.6
1036027,MP-13,57.8
1036117,IM-74,56.1
1032469,ED-45,83.3
1036001,PN-19,56.4
1032998,FT-86,73.4
1032149,EC-10,58.2
1032015,LC-55,89.7
1035342,TO-80,39.0
1035346,LI-79,59.6
1033302,GT-67,77.1
1034733,EN-87,52.8
1035040,CH-62,68.7
1036330,LS-02,74.8
1032251,CH-53,40.5
1036133,TE-92,69.4
1035529,SJ-28,79.0
1035392,LC-12,96.0
1033749,LC-19,89.9
1036070,EM-32,68.4
1035583,TE-13,33.9
1033554,GL-72,92.7
1034445,EC-40,45.7
1034789,EM-47,39.3
1034808,SJ-04,31.7
1032835,TS-37,66.3
1035200,TH-43,68.1
1033053,MP-56,56.2
1036516,ED-80,70.0
1035212,CH-62,76.2
1034279,IM-75,39.7
1036146,EM-83,91.5
1032091,NA-25,96.8
1036576,RE-24,78.7
1032240,TS-43,55.4
1033046,TE-10,99.3
1034547,OL-30,62.7
1034166,TO-44,48.7
1035244,IM-52,58.0
1033061,EM-44,56.4
1034295,YS-61,52.0
1035233,RS-11,91.5
1035402,ED-51,75.0
1033894,ME-46,82.7
1035231,NG-02,71.3
1034618,CH-27,45.5
1033981,TH-76,84.9
1036474,MD-81,96.1
1035405,ED-66,76.6
1033601,YS-92,65.4
1035142,MD-13,70.7
1034682,TH-93,57.5
1036086,CH-52,61.8
1034161,PN-22,39.3
1036272,EM-55,35.5
1035118,YS-84,42.0
1034712,EC-90,59.6
1036620,NG-22,94.6
1036183,VL-49,43.0
1032153,RA-43,41.3
1035521,CH-88,47.7
1033787,RE-44,51.4
1033550,GT-56,42.1
1032915,RS-32,50.2
1032026,SM-82,41.7
1035222,TO-40,96.9
1032222,MD-92,99.9
1032883,EC-83,31.2
1034003,WS-06,31.1
1036607,CL-05,49.2
1036660,MP-13,79.0
1032190,EM-83,98.2
1033966,ND-29,53.6
1034000,GL-67,92.7
1032361,CH-95,49.9
1035821,EM-15,48.9
1032985,MP-25,53.2
1032272,LS-08,91.4
1033640,MP-35,45.8
1032987,SM-38,95.6
1036179,MP-43,43.0
1033841,RE-17,56.0
1036652,MP-76,34.1
1033678,GT-69,56.3
1036720,DE-24,58.9
1036557,GT-49,49.8
1032304,EM-83,68.7
1033089,MA-86,64.1
1034509,FT-26,40.7
1035015,SJ-44,50.2
1034504,DE-08,52.1
1033167,ED-60,80.2
1034940,TH-89,38.0
1036741,TO-05,78.2
1036441,MP-40,49.4
1036417,RM-27,51.6
1034858,TH-13,55.7
1036499,GT-23,71.1
1032352,SM-29,33.7
1035815,TH-27,80.1
1033796,OM-22,95.6
1033052,NA-46,96.7
1034660,MP-31,69.5
1033980,DE-95,78.9
1034222,ED-27,81.6
1035694,FT-05,41.7
1036719,SJ-85,90.1
1035650,ND-29,92.8
1036818,ED-69,86.7
1033273,MT-31,37.1
1032422,TE-02,56.6
1034751,IM-23,77.0
1033212,TE-52,81.3
1033356,MA-16,53.7
1036347,NA-95,77.2
1032079,SJ-58,66.6
1036706,ND-48,85.7
1033499,MP-75,31.0
1036471,CH-11,67.7
1036999,DE-15,91.7
1032303,EM-10,68.8
1033261,EA-27,42.7
1036967,MP-48,84.4
1035092,AU-49,91.8
1036181,ED-66,87.1
1035459,ME-77,41.8
1035493,EC-01,82.1
1035871,NA-14,41.3
1034291,MA-80,55.4
1036078,SP-91,94.9
1034605,CL-65,72.3
1034116,SM-59,44.8
1032450,VL-48,65.0
1035679,SJ-02,78.2
1034185,SS-10,65.1
1033093,TO-89,80.5
1033136,EC-12,95.2
1034118,VL-65,55.7
1033106,RM-16,50.5
1036925,AN-52,40.2
1036326,YS-13,75.9
1033347,DE-94,81.3
1036949,MD-00,62.2
1034001,GT-40,93.0
1035931,YS-01,66.0
1035757,TS-44,49.0
1032335,ME-87,45.0
1032435,RM-38,42.6
1033780,MP-34,75.6
1035570,RA-37,99.7
1033655,CH-10,53.2
1032159,SJ-91,98.3
1034048,AT-16,76.3
1036531,MD-00,69.4
1034998,EM-47,75.7
1035868,EM-80,79.2
1034883,CH-83,77.7
1034159,IM-80,71.6
1033831,OM-49,78.3
1036232,SJ-64,53.1
1036439,ME-66,83.5
1032085,CH-32,41.5
1033855,SJ-44,44.8
1036476,LS-02,80.8
1035080,PO-20,85.5
1033211,GL-49,76.3
1032963,IM-05,84.4
1034692,BH-22,69.9
1032713,LI-12,54.7
1034991,ED-63,95.8
1036366,SM-04,72.6
1033864,SJ-15,32.7
1036925,LI-82,48.6
1036392,SM-61,74.4
1032352,OM-73,48.6
1036272,NA-14,75.2
1034695,RS-51,47.5
1034096,CL-08,80.2
1033246,FT-23,35.6
1034905,EC-16,64.4
1032673,CL-12,76.9
1036852,TO-74,71.0
1036686,ED-28,30.5
1032617,TO-89,91.6
1033207,PO-38,92.1
1034856,NA-32,31.5
1035655,RA-41,78.2
1032717,ME-07,85.0
1035041,DE-88,69.3
1036707,NA-95,58.9
1035591,NG-73,59.3
1035811,EC-63,97.2
1032885,ED-63,43.7
1032942,YS-47,36.5
1035269,SM-30,32.9
1034900,MP-13,50.1
1034895,SP-19,85.3
1034038,EC-60,60.6
1032193,SP-55,61.8
1035067,MA-42,95.4
1032892,MP-48,46.4
1034408,EC-78,43.9
1033416,MP-28,69.7
1032094,LS-87,64.1
1033705,LI-09,77.4
1035710,TS-03,80.8
1032710,YS-52,68.8
1034127,FT-83,71.2
1032045,MP-66,64.9
1033434,LC-92,85.3
1033991,IM-31,49.7
1036362,SM-65,86.9
1033729,WS-81,36.5
1032677,WS-19,51.7
1034068,EM-15,70.6
1036021,LS-81,86.5
1036732,SJ-31,96.6
1033042,YS-14,54.0
1033394,ED-23,33.6
1034772,ED-30,58.5
1033012,ED-58,31.1
1036773,LC-75,75.0
1035154,CL-45,66.1
1032935,AU-49,76.7
1035692,PO-78,34.7
1035670,ED-65,63.6
1033340,NG-23,52.4
1036871,SM-10,45.1
1036840,LC-55,79.0
1035992,IM-05,81.8
1033007,IM-34,56.8
1034572,DE-95,76.5
1032752,CH-30,95.2
1036006,CH-41,49.3
1036059,WS-57,90.8
1035060,ND-68,32.0
1032824,LC-01,67.6
1034000,AT-14,66.7
1033719,ND-83,81.0
1034878,MD-00,69.9
1032217,SJ-72,47.5
1035738,TH-89,92.4
1036275,CL-51,55.6
1033149,GL-20,56.3
1035279,SM-95,70.8
1035292,TO-86,55.5
1033379,AU-01,39.1
1032190,FT-84,31.9
1033582,TS-70,90.8
1035925,ED-64,61.1
1034792,EM-77,74.1
1034227,OL-26,42.6
1036211,RS-56,99.1
1036359,IM-71,89.9
1034440,EC-24,90.1
1035217,LU-01,97.9
1036334,SJ-08,46.5
1034149,BH-22,57.7
1032843,IC-77,54.3
1032694,FT-02,61.2
1035192,RM-80,45.8
1033713,GL-91,64.5
1034248,YS-09,76.5
1033154,LS-81,99.2
1032235,WS-40,61.0
1035141,TH-88,95.4
1036151,MT-92,95.1
1035182,TO-89,77.5
1034897,EC-84,76.0
1036325,ME-46,90.7
1033043,CH-88,82.7
1034862,ED-75,92.3
1033886,SP-22,71.6
1032095,ED-04,62.3
1035522,NG-22,94.0
1033068,GT-50,45.1
1033056,PA-14,81.6
1035640,SM-35,70.0
1032631,TO-22,76.0
1034838,SJ-91,90.4
1034336,MD-13,42.0
1034118,RE-02,82.4
1034047,AU-34,92.1
1032914,WS-09,41.4
1033806,ME-46,86.5
1033303,EC-35,37.9
1035283,NA-74,37.9
1034807,SM-76,79.9
1033372,TS-94,45.2
1032780,PN-61,80.8
1033451,MP-03,75.5
1034016,RE-09,49.8
1033906,RE-42,41.2
1032251,TE-65,57.2
1034108,DE-60,67.5
1034402,NA-35,79.5
1035306,CH-89,54.1
1036325,TL-83,65.2
1032762,LS-01,71.4
1032331,SJ-83,91.0
1032215,IM-96,60.1
1033004,EC-36,79.5
1033464,TE-47,43.5
1036213,RE-95,43.8
1036179,GT-67,79.7
1034298,OL-52,76.1
1035380,SP-28,69.5
1036341,IM-93,70.0
1033966,LS-81,81.2
1033052,DE-48,35.0
1033336,YS-03,55.4
1032038,GL-01,84.2
1032222,IM-75,58.5
1033344,MT-31,70.8
1032771,OL-59,39.2
1033771,ED-06,36.1
1033923,ED-69,78.6
1033693,FT-23,89.7
1032419,YS-45,82.8
1035004,MA-22,92.4
1032108,ED-90,65.8
1033859,MD-81,48.4
1033913,IC-28,32.7
1034686,SM-62,74.7
1036860,TO-17,33.1
1034306,IM-78,80.1
1035273,IM-19,63.0
1034899,MP-38,51.6
1034546,EC-65,36.0
1033802,OM-25,69.4
1033094,EC-42,74.4
1035093,GT-95,98.5
1032103,NG-75,76.6
1032947,MA-13,37.7
1036096,EC-12,32.0
1033399,BH-25,57.1
1034906,ED-15,74.5
1034725,TH-63,64.6
1032708,AN-70,48.4
1035743,IM-25,41.3
1033966,YS-37,75.0
1035532,CH-23,51.1
1035799,ED-56,63.2
1036211,MT-81,94.6
1033958,RS-22,77.5
1032855,ME-43,36.5
1036762,LI-85,54.3
1035473,OM-37,48.3
1036987,MA-29,49.6
1033736,NA-31,65.3
1036270,RM-16,71.8
1036583,NG-20,54.3
1036445,CL-45,31.9
1032207,IM-45,95.4
1035766,OM-89,38.3
1032155,TH-87,59.4
1032477,PO-11,33.4
1033648,TE-46,71.5
1035704,RE-44,88.0
1032870,AU-09,72.4
1034545,TL-10,89.8
1032629,SJ-45,85.9
1033733,AT-63,49.7
1034111,MP-87,99.9
1034442,SJ-41,94.4
1032334,CH-47,45.0
1036436,EC-71,58.2
1032861,SM-57,46.7
1035119,IM-74,61.9
1033607,CH-51,57.9
1033982,OL-71,48.9
1034522,ME-78,80.3
1033498,VL-19,35.9
1034833,SM-36,44.1
1033781,ED-14,31.8
1033066,TE-50,49.4
1036907,EM-41,50.2
1035342,SE-62,55.2
1033446,LS-58,32.3
1034913,OL-90,39.0
1036178,TS-83,86.3
1035020,TS-21,61.1
1032556,FT-17,41.7
1036759,RM-38,75.0
1034632,NA-05,51.7
1035720,RE-94,96.9
1036986,VL-87,57.8
1033288,EM-07,57.1
1035488,YS-67,84.9
1035016,TH-42,47.5
1032694,TS-19,81.2
1034655,MP-33,49.6
1034026,NA-87,31.9
1036962,CH-51,55.5
1034943,EC-53,76.8
1033714,NA-19,59.5
1033423,SJ-70,68.1
1035761,MA-13,59.0
1034191,TO-46,55.7
1034103,SJ-03,61.5
1033318,TH-46,61.2
1032503,TH-31,39.6
1032918,OM-92,41.6
1032265,MP-27,31.4
1036597,RE-80,85.9
1034083,SP-22,64.5
1032362,EC-75,83.1
1033351,TL-46,35.3
1033699,ME-30,40.2
1033317,SM-26,63.6
1036506,IM-45,97.9
1036433,MT-81,81.0
1033522,GL-21,33.4
1033672,MP-02,62.5
1035571,RM-83,84.7
1032940,LI-03,62.5
1036801,EC-51,92.0
1032389,MA-36,58.2
1035795,DE-24,87.8
1035153,TE-69,69.2
1032068,YL-26,51.8
1034148,VL-60,38.5
1035772,FT-06,49.6
1033843,SJ-05,73.4
1034040,NA-33,62.4
1032746,IM-13,39.4
1032646,ME-13,44.9
1032860,LS-78,76.6
1035526,GL-06,61.2
1033525,ND-57,61.0
1032822,GL-79,36.5
1033423,PN-04,82.0
1032118,TL-92,65.5
1032161,PO-41,59.2
1033803,MP-52,51.4
1036505,DE-71,75.8
1035915,IM-08,79.2
1034515,PO-57,56.7
1034465,RS-42,85.6
1036716,ND-42,83.3
1032387,CL-11,74.3
1034728,OM-88,56.4
1035416,OM-79,87.7
1034492,RE-54,68.9
1032903,WS-09,67.7
1033985,DE-41,63.1
1033735,CH-86,37.1
1033917,CH-79,97.6
1033602,VL-03,35.8
1036731,PN-38,70.3
1033087,MP-22,33.4
1033409,SP-61,63.1
1032750,RM-26,51.4
1032012,IM-39,92.6
1033836,IM-66,45.9
1033918,TO-96,34.1
1036651,RE-57,49.8
1032184,FT-78,58.2
1033312,ED-34,75.2
1035378,SM-01,95.1
1036400,IM-12,45.0
1034069,LC-01,95.0
1036525,GT-50,56.3
1036198,SJ-70,86.5
1032109,YS-20,86.8
1037002,FT-11,42.2
1035899,ND-80,64.5
1033619,TE-06,36.3
1033313,SJ-42,67.8
1035431,TS-70,78.5
1034540,MA-80,87.8
1034437,ME-83,97.7
1035932,ED-62,87.3
1034621,GT-02,55.4
1032048,EM-45,89.2
1036299,EM-25,84.6
1033865,IM-50,93.4
1036041,MA-37,32.0
1034611,WS-09,87.8
1033795,OM-03,75.6
1034786,LC-55,52.7
1036286,CL-47,32.9
1035238,LC-15,86.1
1036878,SM-88,62.0
1032711,RS-33,96.1
1036881,WS-13,72.2
1034791,YS-42,98.1
1033100,EC-41,43.2
1035271,DE-17,74.2
1035757,PO-14,80.1
1035548,RS-92,88.8
1036386,ME-84,49.4
1035947,GT-67,71.7
1032516,SJ-50,77.5
1033970,GL-11,74.2
1033841,RM-18,55.2
1034910,RM-41,74.7
1034539,MT-31,44.8
1033895,SS-86,75.3
1032520,OL-53,49.0
1035006,FT-69,45.0
1035569,MP-08,58.7
1032530,SJ-38,91.2
1032537,TS-37,34.4
1035589,TL-01,37.5
1036039,MP-66,95.1
1032926,TE-49,93.4
1034834,ED-70,59.3
1036322,LI-15,91.2
1033342,TE-06,94.0
1032813,GL-28,42.6
1033694,NG-26,63.0
1033739,LS-02,62.2
1036680,IM-26,83.8
1035541,TL-58,87.0
1032641,PO-83,67.1
1036946,NG-04,52.7
1034394,YS-38,92.9
1033610,PN-61,49.9
1032582,TH-23,91.5
1036787,GL-62,71.7
1032475,SS-10,58.3
1035233,EM-34,95.0
1032307,GL-42,90.6
1034829,IM-42,74.6
1034365,SM-19,95.0
1035283,IC-03,86.6
1033247,TE-84,30.4
1036367,RE-48,96.1
1032639,CL-26,50.7
1032777,TE-84,30.9
1035220,IM-42,36.6
1033452,AN-85,80.1
1036246,SP-10,32.9
1032053,TE-92,56.0
1034620,ED-88,39.1
1032410,CH-63,87.1
1032771,LS-28,36.0
1035177,SJ-45,96.4
1034084,RM-77,79.8
1033714,TH-60,98.0
1036861,CH-24,78.8
1035743,TH-60,46.6
1035729,EA-27,67.8
1036212,SJ-42,33.7
1034280,SM-62,88.8
1032569,EC-19,48.8
1032074,DE-30,38.0
1036994,FT-07,96.8
1036955,CH-79,60.8
1037003,YL-26,74.0
1032075,SJ-27,82.3
1032944,CH-24,98.2
1033192,OL-40,68.3
1034321,TH-42,75.9
1035851,TH-57,66.0
1033100,EM-48,92.2
1036256,ED-07,38.4
1036753,SJ-90,88.7
1033068,BH-28,68.3
1035047,DE-86,71.9
1033191,GT-36,66.7
1032171,RS-92,37.5
1032735,CP-86,68.6
1034386,TH-58,99.8
1033683,MP-73,69.2
1034397,RM-18,90.5
1033842,RE-44,68.6
1032693,GT-42,80.2
1035162,GL-96,63.6
1032981,SJ-28,37.2
1035594,GT-69,68.4
1036949,MP-43,65.5
1034288,OL-42,66.6
1036037,ME-87,45.3
1036774,PO-78,67.6
1036414,SP-88,34.3
1036004,LC-60,65.7
1036142,TH-17,53.5
1032674,GT-29,66.5
1034479,CL-22,47.0
1036189,VL-70,82.4
1032110,IM-43,75.6
1035932,TO-44,59.7
1034392,SJ-18,57.0
1033185,MA-29,85.5
1032500,LI-94,52.6
1036936,EM-45,30.6
1036305,TE-92,82.9
1032661,MA-38,46.2
1033960,RS-32,89.1
1035951,AU-87,58.4
1034694,NG-75,96.7
1034602,YS-36,96.8
1036685,MA-86,96.8
1032295,BH-28,99.0
1033948,ED-69,74.8
1032687,VL-60,44.8
1032134,TE-68,88.6
1034829,SM-76,75.0
1032389,MP-64,75.6
1032349,SM-42,40.5
1032658,EC-09,83.6
1035908,SM-67,79.2
1035101,LI-73,79.6
1035179,TH-18,67.3
1033755,SM-59,30.7
1035906,MD-79,77.9
1032282,FT-32,53.6
1035918,EM-40,86.3
1034889,TS-05,82.7
1032521,RE-38,76.2
1033980,TE-46,75.3
1035324,TO-12,87.2
1032114,NA-19,71.8
1034570,TH-89,93.2
